objectid,filename,youtubeid,vimeoid,transcriptlink,title,creator,date,description,province,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,citation
research001,oral_consent.pdf,,,,Oral Consent Form,Mya Ballin,,,,,,,,application/pdf,,,,,
research002,written_consent.pdf,,,,Written Consent Form,Mya Ballin,,,,,,,,application/pdf,,,,,
research003,,,,,,Participant 001,,,"Guangdong, China",23.1317,113.2663,,,,,,,,
research004,,,,,,Participant 002,,,"Jiangsu, China",32.0607,118.763,,,,,,,,
research005,,,,,,Participant 003,,,"Sudogwon, Korea",37.4122,126.8681,,,,,,,,
research006,,,,,,Participant 004,,,"Anhui, China",31.8616,117.2857,,,,,,,,
research007,,,,,,Participant 005,,,"Anhui, China",31.8616,117.2857,,,,,,,,
research008,,,,,,Participant 006,,,"Guangdong, China",23.1317,113.2663,,,,,,,,
research009,,,,,,Participant 007,,,"Sudogwon, Korea",37.4122,126.8681,,,,,,,,
research010,,,,,,Participant 008,,,"Jiangsu, China",32.0607,118.763,,,,,,,,
research011,,,,,,Participant 009,,,"Guangdong, China",23.1317,113.2663,,,,,,,,
research012,,,,,,Participant 010,,,"Anhui, China",31.8616,117.2857,,,,,,,,
research013,,,,,,Participant 011,,,"Hunan, China",28.1142,112.9833,,,,,,,,
research014,,,,,,Participant 012,,,"Zhejiang, China",30.2655,120.1536,,,,,,,,
research015,,,,,,Participant 013,,,"North Gyeongsang, Korea",36.4919,128.8889,,,,,,,,
research016,Australia_Federal.pdf,,,,Australian Federal Commissions,Mya Ballin,,,,,,,,application/pdf,,,,,
research017,zine_in_order.pdf,,,,Caring Records: Notes from a Pressured System,Martine Hawkes,,,,,,,,,application/pdf,,,,

