type,start,end,title,entity,notes
commission,1/1/2014,1/1/2016,VAGO Residential Care Services for Children,VAGO,
commission,1/1/2019,1/1/2021,RC. into Victoria's Mental Health System,state,
commission,01/01/2011,01/12/2012,Protecting Victoria's Vulnerable Children Inq.,,
commission,01/01/2014,01/01/2016,VAGO Residential Care Services for Children,VAGO,
commission,01/01/2022,31/12/2022,VAGO Quality of Child Protection Data,VAGO,
commission,01/01/2021,31/12/2021,Out of sight: Systemic Inq. into [the absent or missing],CCYP,
commission,01/01/2019,31/12/2019,In our own words: Systemic Inq. into the lived experience [of OOHC], CCYP,
commission,01/01/2016,31/12/2016,"Always was, always will be Koori children",CCYP,
commission,01/01/2020,31/12/2020,‘Keep caring’: Systemic inq. into services for [leaving care],CCYP,
strategy,01/01/2003,31/12/2023,Looking After Children framework,DFFH,current
legislation,01/01/2007,31/12/2023,"Children, Youth and Families Act 2005",state,current
legislation,01/01/2007,31/12/2023,Charter for children in out-of-home care,state,current
legislation,01/01/2007,31/12/2023,Charter of Human Rights and Responsibilities 2006,state,current
legislation,13/09/2005,01/02/2021,Working with Children Act,state,
legislation,01/02/2021,31/12/2023,Worker Screening Act 2020,state,current
strategy,01/04/2016,31/12/2023,"Roadmap for Reform: Strong families, safe children",state,current
strategy,01/01/2021,31/12/2023,Safe and Supported,commonwealth,current
legislation,01/03/2013,31/12/2023,Commission for Children and Young People Act 2012,state,current
legislation,05/01/1976,31/12/2023,Family Law Act 1975,commonwealth,current
technology,01/01/1992,01/01/2007,Client And Service Information System (CASIS),,
legislation,01/01/1991,31/12/2007,Children and Young Person’s Act 1989,state,
legislation,01/01/1985,31/12/2023,Adoptions Act 1984,state,current
legislation,01/01/1983,31/12/2023,Freedom of Information Act 1983,state,current
legislation,01/01/1973,31/12/2023,Public Records Act 1973,state,current
legislation,01/01/2001,31/12/2014,Information Privacy Act 2000,state,
legislation,01/01/2014,31/12/2023,Privacy and Data Protection Act 2014,state,current
legislation,01/01/2001,31/12/2023,Health Records Act 2001,,current
technology,01/01/1988,31/12/1992,Children at Risk Register (CARR),,
technology,01/01/1986,31/12/2008,Statutory Client Information System (SCIS),,
legislation,11/05/1993,01/01/2007,Children and Young Persons (Further Amendment) Act 1993,state,mandatory reporting
technology,01/01/1994,31/12/2001,RecFind,,
technology,01/01/1994,01/01/2007,Juvenile Justice Client and Case Management System (JJCIS),,
technology,01/01/2001,31/12/2023,TRIM (replaced RecFind),,current
technology,01/01/2007,31/12/2023,Client Relationship Information System (CRIS),,current
technology,01/01/2007,31/12/2023,Client Relationship Information System for Service Providers (CRISSP),,current
technology,01/01/2007,31/12/2023,Juvenile Justice Client Relationship Information System (JJCRIS),,current
commission,1/1/1995,1/1/1997,National Inq. into the Stolen Generations,federal,
commission,1/1/2013,1/1/2017,RC. into Inst. Responses to Child Sexual Abuse,federal,
commission,1/05/2000,01/08/2001,Senate Inq. into Child Migration,federal,
commission,01/01/2003,01/03/2004,Senate Inq. into Children in Inst. Care,federal,
